ServiceDateTime,Routes,RouteName,EarlyDeparture,OnTime,LateArrival,Missing,TimePointCount,OTP,AverageDwellTime,
,,,,573,378,,539,87.64,133.63,
,,,,140,289,,355,91.51,157.24,
,,,,158,298,,18,92.52,80.42,
,,,,217,267,,454,91.67,161.81,
,,,,145,198,,620,84.21,148.3,
,,,,669,308,,622,79.44,198.55,
,,,,591,343,,553,79.0,159.05,
,,,,616,461,,541,83.87,223.73,
,,,,167,319,,498,78.26,121.25,
,,,,122,301,,442,70.82,194.22,
,,,,559,385,,1427,72.67,113.8,
,,,,385,315,,1366,84.81,134.63,
,,,,344,347,,767,95.4,92.51,
,,,,408,224,,674,89.8,290.51,
,,,,307,304,,181,82.75,108.38,
,,,,12,346,,223,21.74,193.03,
,,,,155,503,,128,52.23,137.97,
,,,,630,435,,143,67.61,115.27,
,,,,220,282,,170,75.34,151.89,
,,,,589,358,,231,88.44,99.16,
,,,,521,394,,849,80.7,152.84,
,,,,492,293,,665,71.26,157.73,
,,,,248,431,,704,83.22,264.78,
,,,,397,281,,174,92.31,97.57,
,,,,1123,323,,544,91.83,187.23,
,,,,1140,403,,654,83.14,112.58,
,,,,646,359,,456,100.0,90.25,
,,,,497,423,,500,98.75,120.32,
,,,,572,376,,317,86.99,251.87,
,,,,212,364,,289,80.0,146.28,
,,,,138,355,,208,77.68,75.73,
,,,,124,339,,682,74.02,178.47,
,,,,697,455,,644,87.85,95.93,
,,,,651,361,,230,84.98,118.28,
,,,,117,557,,266,64.41,127.61,
,,,,290,329,,1448,92.09,118.21,
,,,,579,321,,1370,81.62,125.37,
,,,,581,389,,771,97.39,122.1,
,,,,395,325,,652,89.42,130.02,
,,,,380,555,,190,75.87,148.74,
,,,,399,651,,226,69.46,64.81,
,,,,374,251,,111,85.71,144.32,
,,,,190,379,,86,90.32,225.36,
,,,,1185,386,,148,93.02,172.53,
,,,,1104,252,,279,87.03,175.55,
,,,,571,353,,160,86.15,230.05,
,,,,527,414,,185,67.72,143.02,
,,,,463,382,,846,80.47,180.65,
,,,,70,362,,163,88.03,210.86,
,,,,241,349,,68,78.79,247.91,
,,,,227,341,,331,88.92,119.64,
,,,,545,332,,376,89.2,281.04,
,,,,338,350,,503,90.82,252.97,
,,,,291,,,356,65.63,218.45,
,,,,496,,,683,75.19,134.4,
,,,,112,,,249,91.15,172.62,
,,,,516,,,483,92.76,129.43,
,,,,375,,,280,96.34,161.77,
,,,,390,,,337,79.04,79.32,
,,,,9,,,1352,85.38,220.43,
,,,,509,,,662,87.65,184.69,
,,,,428,,,186,93.24,165.3,
,,,,287,,,77,90.4,254.3,
,,,,404,,,124,93.54,143.73,
,,,,186,,,117,91.2,165.19,
,,,,982,,,149,92.44,190.07,
,,,,959,,,824,93.3,197.34,
,,,,633,,,717,97.03,232.75,
,,,,453,,,334,88.83,123.47,
,,,,60,,,649,94.38,267.19,
,,,,75,,,435,96.3,124.63,
,,,,250,,,448,92.59,299.08,
,,,,185,,,371,95.24,194.39,
,,,,548,,,508,97.2,213.26,
,,,,533,,,532,93.07,146.12,
,,,,331,,,464,68.09,147.43,
,,,,806,,,199,98.91,82.86,
,,,,882,,,675,75.0,148.59,
,,,,445,,,639,91.24,106.56,
,,,,474,,,627,96.7,148.41,
,,,,34,,,388,77.5,270.79,
,,,,22,,,487,58.33,153.72,
,,,,50,,,300,79.19,151.14,
,,,,418,,,1358,84.38,75.72,
,,,,364,,,769,89.5,177.56,
,,,,37,,,232,74.89,166.43,
,,,,196,,,495,72.02,45.09,
,,,,165,,,480,81.01,110.22,
,,,,35,,,518,78.21,188.04,
,,,,525,,,298,81.13,137.55,
,,,,824,,,457,73.67,113.03,
,,,,606,,,284,77.85,162.26,
,,,,15,,,481,86.36,115.64,
,,,,649,,,363,85.88,193.9,
,,,,555,,,348,59.38,214.39,
,,,,629,,,193,69.32,113.31,
,,,,393,,,382,71.2,90.1,
,,,,360,,,599,76.57,130.06,
,,,,431,,,320,74.76,308.54,
,,,,322,,,347,89.1,122.94,
,,,,460,,,513,78.17,148.37,
,,,,386,,,1112,76.72,130.08,
,,,,229,,,1074,75.73,287.26,
